Nombre,Cantidad,Disponible,Categoría
Paracetamol,3,False,Antibiotico
Ibuprofeno,3,False,Analgesico
Amoxicilina,3,True,Antihipertensivo
Aspirina,2,False,Antiinflamatorio
Diclofenaco,3,True,Antibiotico
Metformina,2,True,Analgesico
Losartan,3,True,Antiinflamatorio
Omeprazol,5,True,Analgesico
Clonazepam,0,True,Antibiotico
Captopril,4,False,Antihipertensivo
Simvastatina,2,False,Antihipertensivo
Azitromicina,2,True,Analgesico
Enalapril,5,True,Antihipertensivo
Levotiroxina,1,True,Antibiotico
Furosemida,5,False,Antibiotico
Cefalexina,0,False,Antihipertensivo
Ciprofloxacina,0,False,Antiinflamatorio
Tramadol,0,True,Antihipertensivo
Loratadina,1,True,Analgesico
Prednisona,5,True,Antihipertensivo
Insulina,3,True,Analgesico
Amiodarona,1,True,Antiinflamatorio
Bromazepam,4,True,Analgesico
Metronidazol,5,False,Antiinflamatorio
Atenolol,3,True,Antihipertensivo
Bromuro de Ipratropio,1,False,Antihipertensivo
Clorfenamina,3,False,Antihipertensivo
Fluconazol,3,False,Analgesico
Atorvastatina,3,False,Antihipertensivo
Metoclopramida,0,True,Antiinflamatorio
Omeprazol,3,False,Antibiotico
Salbutamol,0,False,Antiinflamatorio
Betametasona,4,False,Antibiotico
Hidroxicloroquina,0,False,Antibiotico
Lidocaína,0,True,Analgesico
Piroxicam,0,True,Antihipertensivo
Dexametasona,2,False,Analgesico
Carbamazepina,1,False,Antihipertensivo
Esomeprazol,5,True,Analgesico
Fentanilo,4,False,Analgesico
Gabapentina,2,True,Antiinflamatorio
Hidroclorotiazida,0,True,Analgesico
Naproxeno,3,True,Antiinflamatorio
Nifedipino,2,True,Antibiotico
Nitroglicerina,1,True,Analgesico
Pioglitazona,0,True,Antiinflamatorio
Propofol,2,True,Antiinflamatorio
Ranitidina,0,False,Antihipertensivo
Risperidona,3,True,Antihipertensivo
Sertralina,2,True,Antiinflamatorio
Sildenafil,5,False,Antibiotico
Tamsulosina,0,True,Antiinflamatorio
Tiotropio,5,True,Analgesico
Trazodona,5,False,Analgesico
Valproato,2,False,Analgesico
Venlafaxina,2,True,Antibiotico
Zolpidem,4,False,Antihipertensivo
Amlodipino,1,False,Antihipertensivo
Candesartan,2,True,Antibiotico
Ciclosporina,2,False,Antibiotico
Citalopram,3,True,Antibiotico
Clindamicina,4,True,Antihipertensivo
Clopidogrel,1,True,Antibiotico
Colchicina,5,True,Antiinflamatorio
Dabigatrán,3,False,Antibiotico
Dapagliflozina,2,False,Analgesico
Diltiazem,2,False,Analgesico
Duloxetina,4,True,Antibiotico
Escitalopram,1,False,Antiinflamatorio
Fenitoína,3,True,Analgesico
Glimepirida,5,False,Antihipertensivo
Gliclazida,3,False,Analgesico
Haloperidol,0,False,Antiinflamatorio
Hidralazina,2,False,Antibiotico
Indometacina,0,False,Antibiotico
Ivermectina,5,True,Antibiotico
Ketoconazol,5,True,Antibiotico
Lamotrigina,3,False,Antibiotico
Lercanidipino,2,True,Analgesico
Letrozol,4,True,Antibiotico
Mebendazol,0,False,Antihipertensivo
Meloxicam,0,False,Analgesico
Mesalazina,0,False,Analgesico
Montelukast,5,True,Analgesico
Moxifloxacina,3,False,Analgesico
Olmesartán,0,True,Antihipertensivo
Pantoprazol,3,True,Antibiotico
Perindopril,1,False,Antibiotico
Pravastatina,0,True,Antibiotico
Quetiapina,2,False,Antibiotico
Ramipril,1,True,Antibiotico
Rivaroxabán,1,True,Antihipertensivo
Rosuvastatina,4,True,Antibiotico
Sevelámero,0,True,Analgesico
Sitagliptina,4,False,Analgesico
Sotalol,1,True,Antibiotico
Spironolactona,0,True,Antibiotico
Tacrolimus,5,False,Antiinflamatorio
Telmisartán,1,True,Antiinflamatorio
Terbinafina,0,True,Antibiotico
Topiramato,3,False,Analgesico
Vareniclina,0,False,Analgesico
Verapamilo,0,True,Antiinflamatorio
Warfarina,3,True,Antiinflamatorio
Zonisamida,4,True,Analgesico
Aciclovir,0,False,Antibiotico
Acido valproico,5,False,Antibiotico
Adapaleno,4,False,Antihipertensivo
Alendronato,0,False,Analgesico
